"โรงพยาบาล","ผู้สูงอายุ 60 ปีขึ้นไป"
"ทั้งหมด(คน)","ได้รับการตรวจสุขภาพช่องปาก (B)","มีฟันแท้ใช้งานได้ไม่น้อยกว่า 20 ซี่ (A)","ร้อยละ"
"11468  :  ทัณฑสถานโรงพยาบาลราชทัณฑ์","0","0","0","0.00"
"11469  :  โรงพยาบาลเลิดสิน","0","0","0","0.00"
"11470  :  โรงพยาบาลนพรัตนราชธานี","0","0","0","0.00"
"11471  :  โรงพยาบาลสงฆ์","0","0","0","0.00"
"11472  :  โรงพยาบาลราชวิถี","0","0","0","0.00"
"11477  :  โรงพยาบาลทหารผ่านศึก","0","0","0","0.00"
"11478  :  โรงพยาบาลสมเด็จพระปิ่นเกล้า","0","0","0","0.00"
"11481  :  โรงพยาบาลพระมงกุฎเกล้า","0","0","0","0.00"
"11482  :  โรงพยาบาลภูมิพลอดุลยเดช","0","0","0","0.00"
"11532  :  โรงพยาบาลสวนเบญจกิติเฉลิมพระเกียรติ84พรรษา","0","0","0","0.00"
"11534  :  โรงพยาบาลบุรฉัตรไชยากร (รถไฟ)","0","0","0","0.00"
"11535  :  คณะแพทย์ศาสตร์วชิรพยาบาล มหาวิทยาลัยกรุงเทพมหานคร","0","0","0","0.00"
"11536  :  โรงพยาบาลเวชการุณย์รัศมิ์","0","0","0","0.00"
"11537  :  โรงพยาบาลกลาง","0","0","0","0.00"
"11538  :  โรงพยาบาลลาดกระบังกรุงเทพมหานคร","0","0","0","0.00"
"11539  :  โรงพยาบาลตากสิน","0","0","0","0.00"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0.00"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0.00"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0.00"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0.00"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0.00"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0.00"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0.00"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0.00"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0.00"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0.00"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0.00"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","3","0","0","0.00"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0.00"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0.00"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0.00"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0.00"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0.00"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0.00"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0.00"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0.00"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0.00"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0.00"
