"ผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท","จำแนกเพศ(คน)","ผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท รวมทั้งหมด (คน)[B]","ไม่พบประวัติการก่อความรุนแรง(ไม่พบรหัส SMIV/พบรหัส 1B036)","พบพฤติกรรมก่อความรุนแรง"
"พบ SMI-Vทั้งหมด(คน)[A]","ร้อยละ[A/B]x100","พบทำร้ายตนเองด้วยวิธีรุนแรงมุ่งหวังให้เสียชีวิต(1B030)","พบทำร้ายผู้อื่นด้วยวิธีรุนแรง/ก่อความรุนแรงทำให้หวาดกลัว สะเทือนขวัญในชุมชน(1B031)","พบมีอาการหลงผิด มีความคิดทำร้ายตนเอง/ผู้อื่นให้ถึงกับชีวิต หรือมุ่งร้ายผู้อื่นแบบเฉพาะเจาะจง (1B032)","พบว่าก่อคดีอาญารุนแรง (ฆ่า พยายามฆ่า ข่มขืน วางเพลิง)(1B033)","พบเคยมีประวัติก่อความรุนแรง(1B038)","ได้รับการติดตามอย่างน้อย 1 ครั้งต่อปี (1B037)"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพฝิ่นและอนุพันธ์ของฝิ่น(F11.xx)","ชาย","598","0","598","100.00","118","214","314","82","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพฝิ่นและอนุพันธ์ของฝิ่น(F11.xx)","หญิง","61","0","61","100.00","18","25","35","0","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพกัญชา(F12.xx)","ชาย","3,502","0","3,502","100.00","420","1,984","2,042","397","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพกัญชา(F12.xx)","หญิง","92","0","92","100.00","21","51","49","4","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยากล่อมประสาทและยานอนหลับ(F13.xx)","ชาย","117","0","117","100.00","28","46","62","14","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยากล่อมประสาทและยานอนหลับ(F13.xx)","หญิง","35","0","35","100.00","3","10","25","3","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพโคเคน(F14.xx)","ชาย","5","0","5","100.00","1","3","4","1","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพโคเคน(F14.xx)","หญิง","2","0","2","100.00","1","0","0","1","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารกระตุ้นระบบประสาทอื่นรวมทั้งกาแฟ(F15.xx)","ชาย","40,850","0","40,850","100.00","3,304","18,837","21,890","10,253","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารกระตุ้นระบบประสาทอื่นรวมทั้งกาแฟ(F15.xx)","หญิง","3,913","0","3,913","100.00","505","2,015","2,488","337","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาหลอนประสาท(F16.xx)","ชาย","1","0","1","100.00","1","0","0","0","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาหลอนประสาท(F16.xx)","หญิง","0","0","0","0.00","0","0","0","0","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารระเหย(F18.xx)","ชาย","424","0","424","100.00","29","238","193","98","0","0"
"ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารระเหย(F18.xx)","หญิง","17","0","17","100.00","2","9","11","0","0","0"
"Other/ไม่ระบุรหัส F","ชาย","528","0","528","100.00","115","289","254","37","0","0"
"Other/ไม่ระบุรหัส F","หญิง","28","0","28","100.00","6","10","16","0","0","0"
